Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","221","Almonds, with shell","2018","2018","tonnes","470120","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","515","Apples","2018","2018","tonnes","13839040","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","526","Apricots","2018","2018","tonnes","709370","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","366","Artichokes","2018","2018","tonnes","650740","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","367","Asparagus","2018","2018","tonnes","331474","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","572","Avocados","2018","2018","tonnes","99530","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","486","Bananas","2018","2018","tonnes","609870","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","44","Barley","2018","2018","tonnes","56659810","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","414","Beans, green","2018","2018","tonnes","1061476","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","558","Berries nes","2018","2018","tonnes","116757","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","552","Blueberries","2018","2018","tonnes","106420","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","181","Broad beans, horse beans, dry","2018","2018","tonnes","1397390","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","358","Cabbages and other brassicas","2018","2018","tonnes","4201369","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","426","Carrots and turnips","2018","2018","tonnes","5353961","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","393","Cauliflowers and broccoli","2018","2018","tonnes","2363691","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","108","Cereals nes","2018","2018","tonnes","600370","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","531","Cherries","2018","2018","tonnes","611918","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","530","Cherries, sour","2018","2018","tonnes","372900","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","220","Chestnut","2018","2018","tonnes","296050","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","401","Chillies and peppers, green","2018","2018","tonnes","2584390","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","767","Cotton lint","2018","2018","tonnes","379608","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","397","Cucumbers and gherkins","2018","2018","tonnes","2757960","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","550","Currants","2018","2018","tonnes","238211","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","399","Eggplants (aubergines)","2018","2018","tonnes","836320","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","569","Figs","2018","2018","tonnes","83740","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","773","Flax fibre and tow","2018","2018","tonnes","784185","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","512","Fruit, citrus nes","2018","2018","tonnes","54545","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","619","Fruit, fresh nes","2018","2018","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","542","Fruit, pome nes","2018","2018","tonnes","84440","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","541","Fruit, stone nes","2018","2018","tonnes","28680","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","603","Fruit, tropical fresh nes","2018","2018","tonnes","714420","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","406","Garlic","2018","2018","tonnes","398140","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","549","Gooseberries","2018","2018","tonnes","1781","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","103","Grain, mixed","2018","2018","tonnes","3184070","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","507","Grapefruit (inc. pomelos)","2018","2018","tonnes","102910","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","560","Grapes","2018","2018","tonnes","27619792","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","225","Hazelnuts, with shell","2018","2018","tonnes","167600","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","777","Hemp tow waste","2018","2018","tonnes","158820","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","677","Hops","2018","2018","tonnes","55811","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","592","Kiwi fruit","2018","2018","tonnes","939440","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","407","Leeks, other alliaceous vegetables","2018","2018","tonnes","717084","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","497","Lemons and limes","2018","2018","tonnes","1638310","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","372","Lettuce and chicory","2018","2018","tonnes","3692058","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","333","Linseed","2018","2018","tonnes","110070","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","210","Lupins","2018","2018","tonnes","184120","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","56","Maize","2018","2018","tonnes","69004810","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","568","Melons, other (inc.cantaloupes)","2018","2018","tonnes","1788580","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","449","Mushrooms and truffles","2018","2018","tonnes","1150779","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","292","Mustard seed","2018","2018","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","234","Nuts nes","2018","2018","tonnes","17960","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","75","Oats","2018","2018","tonnes","7785890","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","252","Oil, coconut (copra)","2018","2018","tonnes","2928","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","331","Oil, cottonseed","2018","2018","tonnes","48800","A","Aggregate, may include official, semi-official, estimated or calculated data"
