Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1062","Eggs, hen, in shell","2018","2018","tonnes","6920122","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","115644563","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1091","Eggs, other bird, in shell","2018","2018","tonnes","14000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5513","Production","1092","Eggs, other bird, in shell (number)","2018","2018","1000 No","237400","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","869","Fat, cattle","2018","2018","tonnes","526432","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1037","Fat, pigs","2018","2018","tonnes","2174778","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","979","Fat, sheep","2018","2018","tonnes","56036","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","919","Hides, cattle, fresh","2018","2018","tonnes","853111","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1182","Honey, natural","2018","2018","tonnes","249456","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1166","Meat nes","2018","2018","tonnes","2018","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","947","Meat, buffalo","2018","2018","tonnes","22328","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","867","Meat, cattle","2018","2018","tonnes","8002180","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1058","Meat, chicken","2018","2018","tonnes","12391263","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1069","Meat, duck","2018","2018","tonnes","503559","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1163","Meat, game","2018","2018","tonnes","4762","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1017","Meat, goat","2018","2018","tonnes","58860","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1073","Meat, goose and guinea fowl","2018","2018","tonnes","36361","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1097","Meat, horse","2018","2018","tonnes","33316","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1035","Meat, pig","2018","2018","tonnes","24082520","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1141","Meat, rabbit","2018","2018","tonnes","135077","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","977","Meat, sheep","2018","2018","tonnes","809790","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1080","Meat, turkey","2018","2018","tonnes","2025884","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","951","Milk, whole fresh buffalo","2018","2018","tonnes","273940","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","882","Milk, whole fresh cow","2018","2018","tonnes","166633130","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1020","Milk, whole fresh goat","2018","2018","tonnes","2347520","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","982","Milk, whole fresh sheep","2018","2018","tonnes","2844990","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","868","Offals, edible, cattle","2018","2018","tonnes","912747","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1098","Offals, horses","2018","2018","tonnes","314","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1036","Offals, pigs, edible","2018","2018","tonnes","1520167","A","Aggregate, may include official, semi-official, estimated or calculated data"
