Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","886","Butter, cow milk","2018","2018","tonnes","2111417","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1022","Butter, goat milk","2018","2018","tonnes","7427","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","955","Cheese, buffalo milk","2018","2018","tonnes","20071","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1021","Cheese, goat milk","2018","2018","tonnes","207167","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","984","Cheese, sheep milk","2018","2018","tonnes","402743","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","904","Cheese, skimmed cow milk","2018","2018","tonnes","1033948","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","901","Cheese, whole cow milk","2018","2018","tonnes","8550468","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","885","Cream fresh","2018","2018","tonnes","2507571","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","887","Ghee, butteroil of cow milk","2018","2018","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1043","Lard","2018","2018","tonnes","1859464","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","899","Milk, dry buttermilk","2018","2018","tonnes","537773","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","896","Milk, skimmed condensed","2018","2018","tonnes","182933","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","888","Milk, skimmed cow","2018","2018","tonnes","56018068","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","898","Milk, skimmed dried","2018","2018","tonnes","1929463","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","895","Milk, skimmed evaporated","2018","2018","tonnes","109216","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","889","Milk, whole condensed","2018","2018","tonnes","212906","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","897","Milk, whole dried","2018","2018","tonnes","873026","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","894","Milk, whole evaporated","2018","2018","tonnes","1055193","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1186","Silk, raw","2018","2018","tonnes","2120","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1225","Tallow","2018","2018","tonnes","841096","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","890","Whey, condensed","2018","2018","tonnes","398084","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","900","Whey, dry","2018","2018","tonnes","1824546","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","891","Yoghurt","2018","2018","tonnes","1024","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1811","Butter and Ghee","2018","2018","tonnes","2118844","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1745","Cheese (All Kinds)","2018","2018","tonnes","10214397","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1816","Evaporat&Condensed Milk","2018","2018","tonnes","1958332","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5706","European Union (28)","5510","Production","1809","Skim Milk&Buttermilk,Dry","2018","2018","tonnes","2467236","A","Aggregate, may include official, semi-official, estimated or calculated data"
